date,vnindex_close,vnindex_volume
2016-05-26,604.34,94423072
2016-05-27,608.11,89454248
2016-05-30,614.5,101592792
2016-05-31,618.44,107978416
2016-06-01,619.86,99652392
2016-06-02,623.37,121873952
2016-06-03,621.88,118639056
2016-06-06,620.05,118156656
2016-06-07,624.65,112253160
2016-06-08,627.87,126073728
2016-06-09,631.26,116376384
2016-06-10,629.84,128988304
2016-06-13,623.58,116109848
2016-06-14,625.43,91857824
2016-06-15,627.02,103691960
2016-06-16,625.11,116946048
2016-06-17,619.25,143669216
2016-06-20,626.46,94735408
2016-06-21,628.0,108155080
2016-06-22,626.41,93762048
2016-06-23,632.27,105505080
2016-06-24,620.77,262210432
2016-06-27,621.27,101865152
2016-06-28,622.2,76760440
2016-06-29,630.12,113362112
2016-06-30,632.26,99042576
2016-07-01,640.3,106711160
2016-07-04,647.96,124752896
2016-07-05,650.88,140423840
2016-07-06,649.46,117965440
2016-07-07,661.12,130188392
2016-07-08,658.68,131939488
2016-07-11,652.26,146647984
2016-07-12,658.9,149112960
2016-07-13,675.12,138633536
2016-07-14,666.69,152057568
2016-07-15,664.56,116464576
2016-07-18,673.5,122748176
2016-07-19,667.76,131066872
2016-07-20,660.26,124236080
2016-07-21,659.57,104596576
2016-07-22,649.87,140165040
2016-07-25,649.3,86417856
2016-07-26,648.59,97294624
2016-07-27,656.11,111642192
2016-07-28,657.14,115779904
2016-07-29,652.23,112283208
2016-08-01,648.38,89743112
2016-08-02,636.05,136282912
2016-08-03,631.61,87450232
2016-08-04,631.94,103788872
2016-08-05,627.39,118506920
2016-08-08,629.46,84087432
2016-08-09,637.34,87157080
2016-08-10,648.33,107877048
2016-08-11,660.24,134689840
2016-08-12,655.71,117895768
2016-08-15,659.47,114385768
2016-08-16,658.11,128458312
2016-08-17,660.51,113202520
2016-08-18,660.65,120173288
2016-08-19,662.28,101626960
2016-08-22,657.68,109773168
2016-08-23,659.16,90297080
2016-08-24,660.77,98316872
2016-08-25,658.5,106728728
2016-08-26,667.75,109776944
2016-08-29,669.44,108619912
2016-08-30,672.67,87433664
2016-08-31,674.63,93688888
2016-09-01,669.19,93925040
2016-09-05,664.55,103194864
2016-09-06,663.9,87906496
2016-09-07,661.28,88002528
2016-09-08,666.07,112627640
2016-09-09,666.88,95460760
2016-09-12,659.76,88600248
2016-09-13,659.72,81226280
2016-09-14,656.64,92963280
2016-09-15,656.18,105142832
2016-09-16,651.31,184317136
2016-09-19,657.89,104348352
2016-09-20,663.37,100490648
2016-09-21,668.48,134925824
2016-09-22,671.38,112592880
2016-09-23,674.09,99084600
2016-09-26,677.04,91965272
2016-09-27,684.89,115019352
2016-09-28,686.72,111646624
2016-09-29,688.55,109747832
2016-09-30,685.73,102428416
2016-10-03,683.05,108477136
2016-10-04,684.2,111644672
